Rebuilding ListInfoManager Singleton...  ... done
Scan Request pixel_12020                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_12021                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_12022                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12023                :: entry=2013-01-03 :: expire=2013-04-18 :: active=false
Scan Request pixel_12029                :: entry=2013-01-03 :: expire=2013-04-18 :: active=false
Scan Request pixel_12130                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_12131                :: entry=2013-03-18 :: expire=2013-07-01 :: active=true
Scan Request pixel_12143                :: entry=2013-04-29 :: expire=2013-08-12 :: active=true
Scan Request pixel_12156                :: entry=2012-10-29 :: expire=2013-02-11 :: active=false
Scan Request pixel_12163                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12168                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12322                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12330                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12332                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12333                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12356                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_12402                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12411                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12417                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_12418                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_12448                :: entry=2013-01-03 :: expire=2013-04-18 :: active=false
Scan Request pixel_1259                 :: entry=2012-10-16 :: expire=2013-01-29 :: active=false
Scan Request pixel_1266                 :: entry=2012-07-30 :: expire=2012-11-12 :: active=false
Scan Request pixel_1281                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_1282                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12824                :: entry=2012-10-26 :: expire=2013-02-08 :: active=false
Scan Request pixel_1283                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12846                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_12847                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_12848                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_12849                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_1285                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12850                :: entry=2012-09-21 :: expire=2013-01-04 :: active=false
Scan Request pixel_12851                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_12853                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_1286                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12861                :: entry=2013-02-22 :: expire=2013-06-07 :: active=true
Scan Request pixel_12891                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_1292                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_12942                :: entry=2012-11-28 :: expire=2013-03-13 :: active=false
Scan Request pixel_12970                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_12972                :: entry=2013-04-02 :: expire=2013-07-16 :: active=true
Scan Request pixel_13027                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13034                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13035                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13062                :: entry=2013-04-22 :: expire=2013-08-05 :: active=true
Scan Request pixel_13063                :: entry=2013-04-22 :: expire=2013-08-05 :: active=true
Scan Request pixel_1313                 :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
Scan Request pixel_13132                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13133                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13135                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13139                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13144                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13145                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13158                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13159                :: entry=2012-01-01 :: expire=2012-04-15 :: active=false
Scan Request pixel_13163                :: entry=2012-11-02 :: expire=2013-02-15 :: active=false
