id_campaign	id_domain	id_date	id_hour	id_lineitem	id_creative	id_exchange	id_country	id_currcode	id_content	id_utw	ENTRY_DATE	HAS_CC	RAND99	sum(num_bids)	sum(num_clicks)	sum(num_impressions)	sum(num_conversions)	sum(num_conv_post_view)	sum(num_conv_post_click)	sum(imp_bid_amount)	sum(imp_cost)
1666	24happliancerepair.com	2012-10-15	6	1887962762	193056	4	233	0	4	4	2012-10-15	0	35	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887962748	192968	4	233	0	4	4	2012-10-15	0	81	2	0	1	0	0	0	0.0035	0.00206
1666	24hplumber.com	2012-10-15	6	1887962748	192969	4	233	0	4	4	2012-10-15	0	98	10	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887962748	192969	4	233	0	4	46	2012-10-15	0	51	4	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887962755	193034	4	233	0	4	4	2012-10-15	0	11	2	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887962755	193035	4	233	0	4	4	2012-10-15	0	60	4	0	2	0	0	0	0.007	0.00554
1666	24hplumber.com	2012-10-15	6	1887962756	193038	4	233	0	4	4	2012-10-15	0	80	3	0	2	0	0	0	0.007	0.00539
1666	24hplumber.com	2012-10-15	6	1887962757	193041	4	233	0	4	4	2012-10-15	0	56	3	0	2	0	0	0	0.007	0.00575
1666	24hplumber.com	2012-10-15	6	1887962758	193043	4	233	0	4	4	2012-10-15	0	9	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887962758	193044	4	233	0	4	4	2012-10-15	0	43	7	0	3	0	0	0	0.0105	0.00937
1666	24hplumber.com	2012-10-15	6	1887962759	193046	4	233	0	4	4	2012-10-15	0	68	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887962759	193047	4	233	0	4	4	2012-10-15	0	46	2	0	2	0	0	0	0.007	0.0064
1666	24hplumber.com	2012-10-15	6	1887962760	193049	4	233	0	4	4	2012-10-15	0	2	2	0	1	0	0	0	0.0035	0.00153
1666	24hplumber.com	2012-10-15	6	1887962760	193050	4	233	0	4	4	2012-10-15	0	74	5	0	1	0	0	0	0.0035	0.00322
1666	24hplumber.com	2012-10-15	6	1887962761	193053	4	233	0	4	4	2012-10-15	0	62	2	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887962762	193056	4	233	0	4	4	2012-10-15	0	63	1	0	0	0	0	0	0	0
1666	24hplumber.com	2012-10-15	6	1887966392	192975	4	233	0	4	94	2012-10-15	0	11	2	0	0	0	0	0	0	0
