excname	exc_id	iab_id
contextweb	399	329
contextweb	454	148
contextweb	59	399
contextweb	60	482
contextweb	397	149
contextweb	5	11
contextweb	24	11
contextweb	302	11
contextweb	61	24
contextweb	62	47
contextweb	63	250
contextweb	64	398
contextweb	65	49
contextweb	67	46
contextweb	68	75
contextweb	461	325
contextweb	69	156
contextweb	70	51
contextweb	71	25
contextweb	72	300
contextweb	6	95
contextweb	82	121
contextweb	410	299
contextweb	412	555
contextweb	409	425
contextweb	408	430
contextweb	83	430
contextweb	83	432
contextweb	84	221
contextweb	411	554
contextweb	85	507
contextweb	86	301
contextweb	8	99
contextweb	123	134
contextweb	124	360
contextweb	125	208
contextweb	126	369
contextweb	127	612
contextweb	128	320
contextweb	129	575
contextweb	130	574
contextweb	131	574
contextweb	135	574
contextweb	136	574
contextweb	139	574
contextweb	132	387
contextweb	133	480
contextweb	134	235
contextweb	137	135
contextweb	138	133
contextweb	140	401
contextweb	141	287
contextweb	17	15
contextweb	257	518
contextweb	258	712
contextweb	259	799
contextweb	260	747
contextweb	261	58
contextweb	262	59
contextweb	263	372
contextweb	264	419
contextweb	13	43
contextweb	10	92
contextweb	155	92
contextweb	170	283
contextweb	171	479
contextweb	172	481
contextweb	173	115
contextweb	174	483
contextweb	175	478
contextweb	176	417
contextweb	177	310
contextweb	472	530
contextweb	178	276
contextweb	179	276
contextweb	468	276
contextweb	469	276
contextweb	462	416
contextweb	180	532
contextweb	181	503
contextweb	466	400
contextweb	182	533
contextweb	183	101
contextweb	184	420
contextweb	185	199
contextweb	186	413
contextweb	471	534
contextweb	452	409
contextweb	187	414
contextweb	188	317
contextweb	470	317
contextweb	189	116
contextweb	190	117
contextweb	191	405
contextweb	192	535
contextweb	464	536
contextweb	193	213
contextweb	194	209
contextweb	469	209
contextweb	195	103
contextweb	196	537
contextweb	198	211
contextweb	199	212
contextweb	200	145
contextweb	201	191
contextweb	202	202
contextweb	203	538
contextweb	204	402
contextweb	205	608
contextweb	206	87
contextweb	207	87
contextweb	208	637
contextweb	209	102
contextweb	210	407
contextweb	179	407
contextweb	470	407
contextweb	11	70
contextweb	156	705
contextweb	157	700
contextweb	467	703
contextweb	158	790
contextweb	159	100
contextweb	160	334
contextweb	161	715
contextweb	162	792
contextweb	163	698
contextweb	164	797
contextweb	165	793
contextweb	166	800
contextweb	167	529
contextweb	168	219
contextweb	14	62
contextweb	211	335
contextweb	212	93
contextweb	213	336
contextweb	241	342
contextweb	389	63
contextweb	215	337
contextweb	216	69
contextweb	217	98
contextweb	218	343
contextweb	221	57
contextweb	219	57
contextweb	222	57
contextweb	220	57
contextweb	223	57
contextweb	224	57
contextweb	225	57
contextweb	226	104
contextweb	227	600
contextweb	228	344
contextweb	229	412
contextweb	230	345
contextweb	231	328
contextweb	232	346
contextweb	233	348
contextweb	234	338
contextweb	235	50
contextweb	236	451
contextweb	237	444
contextweb	238	270
contextweb	239	531
contextweb	240	233
contextweb	434	233
contextweb	241	247
contextweb	242	89
contextweb	243	339
contextweb	244	61
contextweb	245	40
contextweb	445	40
contextweb	246	341
contextweb	15	10
contextweb	485	130
contextweb	247	186
contextweb	248	80
contextweb	249	112
contextweb	250	107
contextweb	251	501
contextweb	252	114
contextweb	253	111
contextweb	16	17
contextweb	254	347
contextweb	255	77
contextweb	256	617
contextweb	16	13
contextweb	9	5
contextweb	142	96
contextweb	143	193
contextweb	145	546
contextweb	146	362
contextweb	450	794
contextweb	148	33
contextweb	149	97
contextweb	150	795
contextweb	448	798
contextweb	151	363
contextweb	152	796
contextweb	153	625
contextweb	18	16
contextweb	265	580
contextweb	266	603
contextweb	267	291
contextweb	268	582
contextweb	269	284
contextweb	270	565
contextweb	271	192
contextweb	22	171
contextweb	289	248
contextweb	290	203
contextweb	291	241
contextweb	292	239
contextweb	293	264
contextweb	294	214
contextweb	295	198
contextweb	296	81
contextweb	19	65
contextweb	272	560
contextweb	274	562
contextweb	273	563
contextweb	275	189
contextweb	25	23
contextweb	305	725
contextweb	306	170
contextweb	307	249
contextweb	308	246
contextweb	309	351
contextweb	310	643
